UserID,ItemID,ProductCategory,Rating,Price,InteractionType,Timestamp
33dc4466-c701-48bb-8e90-90d29204099e,AVphzgbJLJeJML43fA0o,electronics,,,purchase,2025-08-16T15:33:15.602584
17f630e9-4ea1-48b0-8d42-bf6c7d61d29a,AVpgMuGwLJeJML43KY_c,electronics,,,view,2025-08-16T15:33:15.602756
aef5d9c4-d0a8-43c6-bdd2-13f45e449af9,AVpgMuGwLJeJML43KY_c,electronics,,,click,2025-08-16T15:33:15.602819
d737fd6f-ff9f-44e7-b1ad-179bc6ad25ff,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.602862
7c427f64-6dfc-4cef-9bf2-52fe72fbc9f8,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.602903
51cd36ce-777b-4587-ba59-ee1ead3e4a27,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.602940
ce6afc45-bdd0-49b1-a962-aaa4e5e3b1bf,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.602978
ac8ef358-28a4-40dd-87b8-beb74d25f337,AVpgMuGwLJeJML43KY_c,electronics,,,view,2025-08-16T15:33:15.603028
6e13e9d5-f13d-4030-9116-ed90d542c890,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.603079
5b928992-883d-4834-a751-94fcb88f3cc0,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.603134
597c1051-fb9a-452b-9f0f-b665adcaf323,AVpgMuGwLJeJML43KY_c,electronics,,,view,2025-08-16T15:33:15.603184
6c4fd402-309f-4712-896f-f2df230e1a9b,AVpgMuGwLJeJML43KY_c,electronics,,,purchase,2025-08-16T15:33:15.603232
3d8c9dda-70f3-4cce-b510-8aae28115dae,AVpgMuGwLJeJML43KY_c,electronics,,,click,2025-08-16T15:33:15.603284
d439e35e-b624-4228-8856-faac29585a8a,AVpe9FXeLJeJML43zHrq,electronics,,,click,2025-08-16T15:33:15.603347
c762911e-b837-4965-9743-206b607b0d81,AVpe9FXeLJeJML43zHrq,electronics,,,view,2025-08-16T15:33:15.603399
ca130f2f-922f-437c-b230-4b9d8c248ed7,AVpe9FXeLJeJML43zHrq,electronics,,,click,2025-08-16T15:33:15.603450
a246e236-036a-465c-8274-e2f55cfd1228,AVpe9FXeLJeJML43zHrq,electronics,,,view,2025-08-16T15:33:15.603504
e04b156f-f04f-41e4-8c70-3294fc3af6d9,AVpe9FXeLJeJML43zHrq,electronics,,,view,2025-08-16T15:33:15.603554
e10b44db-de5a-4c91-a5ff-8f93ad1d5dbd,AVpfVJXu1cnluZ0-iwTT,electronics,,,click,2025-08-16T15:33:15.603651
200612c8-13b6-45be-b8ee-cc1ec3e23eb5,AVpfVJXu1cnluZ0-iwTT,electronics,,,click,2025-08-16T15:33:15.603735
35b245d3-6a21-4f0e-9819-27c9a7ec29df,AVpfVJXu1cnluZ0-iwTT,electronics,,,purchase,2025-08-16T15:33:15.603793
5f39b360-062c-4211-bd7d-0606df6ac873,AVpfVJXu1cnluZ0-iwTT,electronics,,,purchase,2025-08-16T15:33:15.603844
28735107-d3f4-4781-b586-5d5a58422811,AVpfVJXu1cnluZ0-iwTT,electronics,,,view,2025-08-16T15:33:15.603887
6b3f4caa-4171-4245-a7d7-d7ab1a9fa1e1,AVphUeKeilAPnD_x3-Be,electronics,,,purchase,2025-08-16T15:33:15.603930
551a59d3-87fa-45eb-84e1-3a312fa9a53a,AVphUeKeilAPnD_x3-Be,electronics,,,click,2025-08-16T15:33:15.603980
e1febdbc-940d-4a44-81ba-b8548cc4507b,AVphUeKeilAPnD_x3-Be,electronics,,,click,2025-08-16T15:33:15.604024
bc64350b-6c4e-4a6f-9133-49998eadbb91,AVphUeKeilAPnD_x3-Be,electronics,,,click,2025-08-16T15:33:15.604067
425c3a81-1269-4aca-bead-fb7593fd4ee7,AVphUeKeilAPnD_x3-Be,electronics,,,view,2025-08-16T15:33:15.604112
a46d1606-6f40-444e-aec1-411262d02395,AVpi6aLv1cnluZ0-Rv8A,electronics,,,click,2025-08-16T15:33:15.604158
a878cbb8-2aef-483c-bfdd-43b2c6839d02,AVpi6aLv1cnluZ0-Rv8A,electronics,,,click,2025-08-16T15:33:15.604201
6cfc7440-b78a-473d-957e-b1d6945681ad,AVpi6aLv1cnluZ0-Rv8A,electronics,,,view,2025-08-16T15:33:15.604249
9af1b922-d4a2-49f6-90ad-51b0343d2b8f,AVpi6aLv1cnluZ0-Rv8A,electronics,,,view,2025-08-16T15:33:15.604310
7bcb6623-48cc-454c-9bbe-d4262cbbedaa,AVpi6aLv1cnluZ0-Rv8A,electronics,,,view,2025-08-16T15:33:15.604365
b115de12-7eba-4adc-a65d-3cd0cfe0ec41,AVpf0Nyo1cnluZ0-rzhu,electronics,,,purchase,2025-08-16T15:33:15.604411
d5f71477-4b19-4be7-8c77-ee8bc79f5af9,AVpf0Nyo1cnluZ0-rzhu,electronics,,,view,2025-08-16T15:33:15.604463
af6d3f0b-8980-4774-b869-b680412d43d3,AVpf0Nyo1cnluZ0-rzhu,electronics,,,purchase,2025-08-16T15:33:15.604511
